"","x"
"1","3375122"
"2","21462400"
"3","21462431"
"4","21462745"
"5","21459377"
"6","21459420"
"7","21458404"
"8","21465699"
"9","21465775"
"10","21455175"
"11","15529553"
"12","15526247"
"13","70413142"
"14","8235640"
"15","3375193"
"16","3375234"
"17","15524315"
"18","71626282"
"19","21459767"
"20","21550944"
"21","71272795"
"22","21455623"
"23","70415524"
"24","70415641"
"25","8258476"
"26","98450054"
"27","43281583"
"28","43281979"
"29","43282201"
"30","43282216"
"31","70417786"
"32","21573451"
"33","43501697"
"34","15524336"
"35","43282392"
"36","21578027"
"37","43280598"
"38","43220421"
"39","70810300"
"40","70810320"
"41","98510410"
"42","573238"
"43","21551571"
"44","21551804"
"45","21552007"
"46","21552219"
"47","21552518"
"48","43284384"
"49","43284468"
"50","15529937"
"51","42732156"
"52","42874376"
"53","70810698"
"54","70810714"
"55","70810842"
"56","70810875"
"57","98640047"
"58","98643110"
"59","98589886"
"60","1036663125"
"61","22128030"
"62","21463348"
"63","15530335"
"64","32348790"
"65","32491267"
"66","32704482"
"67","70811204"
"68","1017180106"
"69","21463723"
"70","15530560"
"71","3375616"
"72","3376008"
"73","43490864"
"74","3378286"
"75","43284665"
"76","15520557"
"77","15520569"
"78","15520897"
"79","15521025"
"80","3376721"
"81","3376974"
"82","1027885253"
"83","3355207"
"84","3372768"
"85","21464282"
"86","15530913"
"87","15521157"
"88","15521433"
"89","15521758"
"90","3377187"
"91","3377283"
"92","3378169"
"93","3510511"
"94","4829173"
"95","3419810"
"96","3567300"
"97","718029"
"98","3419807"
"99","4829982"
"100","15531325"
"101","15531458"
"102","15531587"
"103","15531665"
"104","15522162"
"105","15522281"
"106","43285584"
"107","43285723"
"108","3510788"
"109","3417731"
"110","3417938"
"111","15531934"
"112","15532012"
"113","15532168"
"114","15532240"
"115","15532338"
"116","15532409"
"117","15522666"
"118","15522745"
"119","43575795"
"120","3374203"
"121","3374427"
"122","3415904"
"123","4829789"
"124","3378108"
"125","15532707"
"126","15533032"
"127","15527171"
"128","15527474"
"129","43605913"
"130","43637922"
"131","43733574"
"132","3377105"
"133","3566489"
"134","544726"
"135","572509"
"136","3377019"
"137","3377129"
"138","3377196"
"139","3377199"
"140","3377203"
"141","8344064"
"142","15527895"
"143","15527940"
"144","15528000"
"145","15528273"
"146","70811434"
"147","676133"
"148","21458553"
"149","21458620"
"150","15534867"
"151","15528420"
"152","15528636"
"153","70083794"
"154","70122652"
"155","3418570"
"156","70812020"
"157","3374813"
"158","21460774"
"159","21460789"
"160","21460813"
"161","21460696"
"162","21464367"
"163","15526761"
"164","70411126"
"165","3452981"
"166","15531815"
"167","43285443"
"168","21465779"
"169","43282977"
"170","21918451"
"171","70001418"
"172","43283709"
"173","1027881507"
"174","21824362"
"175","29392550"
"176","21920027"
"177","1027881976"
"178","43286313"
"179","43284204"
"180","3419467"
"181","21575465"
"182","21470548"
"183","3379701"
"184","98460957"
"185","15528020"
"186","15534480"
"187","15520568"
"188","71230489"
"189","3379471"
"190","15531068"
"191","42892265"
"192","6278349"
"193","7490812"
"194","21454353"
"195","21454366"
"196","21454858"
"197","21455301"
"198","21455600"
"199","21457585"
"200","21455881"
"201","21456535"
"202","21456660"
"203","21458439"
"204","21458787"
"205","21459033"
"206","21459060"
"207","21459061"
"208","21459785"
"209","21459794"
"210","42988488"
"211","15528668"
"212","70415630"
"213","70414361"
"214","15528711"
"215","70414410"
"216","15529341"
"217","15522909"
"218","15522962"
"219","29155449"
"220","43284777"
"221","43284860"
"222","43284866"
"223","15524849"
"224","15524883"
"225","15529423"
"226","70414669"
"227","15528819"
"228","21920713"
"229","15523521"
"230","32110981"
"231","43284995"
"232","43285103"
"233","43286451"
"234","43285186"
"235","43285321"
"236","43286574"
"237","43285384"
"238","43285504"
"239","43286707"
"240","43285758"
"241","70422465"
"242","15530396"
"243","15530412"
"244","70513809"
"245","15530440"
"246","15524935"
"247","70418921"
"248","70417319"
"249","15529565"
"250","15530001"
"251","32241391"
"252","43287350"
"253","43285834"
"254","43287549"
"255","43286061"
"256","43288330"
"257","15530805"
"258","15530555"
"259","15531029"
"260","43280539"
"261","15525208"
"262","43280814"
"263","43281641"
"264","43281763"
"265","43281042"
"266","70418079"
"267","15530117"
"268","15524201"
"269","43288968"
"270","43488740"
"271","15525607"
"272","43289777"
"273","43343903"
"274","15531076"
"275","43281089"
"276","43282033"
"277","43281162"
"278","43282160"
"279","43281303"
"280","43281339"
"281","43281366"
"282","70420046"
"283","70420233"
"284","70420376"
"285","15530228"
"286","70418682"
"287","15523821"
"288","15524380"
"289","32435685"
"290","43492406"
"291","43506601"
"292","15531287"
"293","15530677"
"294","15531337"
"295","15531386"
"296","43281492"
"297","43282478"
"298","43282513"
"299","43282672"
"300","43284122"
"301","718065"
"302","15530294"
"303","32457207"
"304","43584153"
"305","15526237"
"306","15531506"
"307","3377450"
"308","43284218"
"309","15532876"
"310","15530752"
"311","3416411"
"312","71655453"
"313","15533698"
"314","15533699"
"315","15533082"
"316","93061769"
"317","21822540"
"318","21822565"
"319","15522316"
"320","71682121"
"321","71723324"
"322","15533950"
"323","3374816"
"324","15522131"
"325","21821158"
"326","9060322"
"327","570738"
"328","15534074"
"329","15533410"
"330","3375517"
"331","3375565"
"332","15522212"
"333","15522559"
"334","573101"
"335","98450978"
"336","98451066"
"337","98451132"
"338","15522638"
"339","21974103"
"340","3510540"
"341","98524339"
"342","15523126"
"343","22157578"
"344","3669397"
"345","21556461"
"346","15361676"
"347","15526495"
"348","70073390"
"349","15526553"
"350","15526931"
"351","15526567"
"352","70001899"
"353","70002229"
"354","15527122"
"355","70003652"
"356","70043543"
"357","15527228"
"358","70410194"
"359","70410253"
"360","70811801"
"361","15527933"
"362","70410475"
"363","70410539"
"364","70411588"
"365","70411685"
"366","15531777"
"367","70411705"
"368","70411770"
"369","15527665"
"370","15527673"
"371","15527679"
"372","70813409"
"373","70411185"
"374","71313673"
"375","70412640"
"376","15528890"
"377","15528954"
"378","21459347"
"379","21459438"
"380","71230074"
"381","70413587"
"382","70415053"
"383","70415095"
"384","21460378"
"385","21460469"
"386","21460508"
"387","21461147"
"388","21460639"
"389","21460715"
"390","21461431"
"391","21460766"
"392","70413677"
"393","15528630"
"394","21461438"
"395","21461582"
"396","21460898"
"397","21461848"
"398","21473055"
"399","21473096"
"400","21473105"
"401","21473110"
"402","21550139"
"403","21463480"
"404","21463484"
"405","21463518"
"406","21463551"
"407","21462603"
"408","21463825"
"409","21473149"
"410","21473210"
"411","21463016"
"412","21463962"
"413","21475525"
"414","21475557"
"415","21475602"
"416","8457980"
"417","8511447"
"418","9856789"
"419","43488350"
"420","15525988"
"421","15250723"
"422","21555290"
"423","15526417"
"424","43997722"
"425","3509934"
"426","3376549"
"427","3377370"
"428","3377436"
"429","3377488"
"430","3377775"
"431","3378167"
"432","3378644"
"433","3378675"
"434","98451794"
"435","3379628"
"436","3379632"
"437","3380204"
"438","3379688"
"439","98469657"
"440","21569292"
"441","3379737"
"442","1027882507"
"443","1027882616"
"444","21570730"
"445","15450780"
"446","21553237"
"447","15516600"
"448","3409856"
"449","1027887020"
"450","1027880666"
"451","1033648687"
"452","1033649384"
"453","1027881138"
"454","21572001"
"455","21572267"
"456","21572483"
"457","15521231"
"458","1033652779"
"459","1033653665"
"460","1037652325"
"461","21574600"
"462","21575063"
"463","21575158"
"464","21573432"
"465","3410215"
"466","3409116"
"467","3411128"
"468","21576214"
"469","15521078"
"470","3411291"
"471","3415372"
"472","3419157"
"473","3417549"
"474","3419429"
"475","3417695"
"476","3419793"
