"","x"
"400","21920713"
"401","15523521"
"402","32110981"
"403","43284995"
"404","43285103"
"405","43286451"
"406","43285186"
"407","43285321"
"408","43286574"
"409","43285384"
"410","43285504"
"411","43286707"
"412","43285758"
"413","43285758"
"414","70422465"
"415","15530396"
"416","15530412"
"417","70513809"
"418","15530440"
"419","15524935"
"420","15524935"
"421","70418921"
"422","70418921"
"423","70417319"
"424","15529565"
"425","15530001"
"426","32241391"
"427","43287350"
"428","43285834"
"429","43287549"
"430","43286061"
"431","43288330"
"432","15530805"
"433","15530555"
"434","15531029"
"435","43280539"
"436","43280539"
"437","15525208"
"438","43280814"
"439","43281641"
"440","43281763"
"441","43281042"
"442","70418079"
"443","15530117"
"444","15530117"
"445","15524201"
"446","43288968"
"447","43488740"
"448","15525607"
"449","43289777"
"450","43343903"
"451","15531076"
"452","43281089"
"453","43281089"
"454","43282033"
"455","43282033"
"456","43281162"
"457","43282160"
"458","43281303"
"459","43281303"
"460","43281366"
"461","70420046"
"462","70420233"
"463","70420376"
"464","15530228"
"465","70418682"
"466","15523821"
"467","15523821"
"468","15524380"
"469","32435685"
"470","43492406"
"471","43506601"
"472","15531287"
"473","15530677"
"474","15531337"
"475","15531386"
"476","43281492"
"477","43282478"
"478","43282513"
"479","43282672"
"480","43284122"
"481","718065"
"482","718065"
"483","15530294"
"484","32457207"
"485","43584153"
"486","15526237"
"487","15526237"
"488","15531506"
"489","3377450"
"490","43284218"
"491","15532876"
"492","15530752"
"493","3416411"
"494","71655453"
"495","71655453"
"496","15533698"
"497","15533699"
"498","15533082"
"499","93061769"
"500","21822540"
"501","21822565"
"502","15522316"
"503","71682121"
"504","71723324"
"505","71723324"
"506","15533950"
"507","3374816"
"508","3374816"
"509","15522131"
"510","21821158"
"511","9060322"
"512","570738"
"513","570738"
"514","15534074"
"515","15533410"
"516","3375517"
"517","3375517"
"518","3375517"
"519","3375565"
"520","3375565"
"521","15522212"
"522","15522559"
"523","573101"
"524","573101"
"525","98450978"
"526","98451066"
"527","98451132"
"528","15522638"
"529","21974103"
"530","3510540"
"531","98524339"
"532","15523126"
"533","22157578"
"534","3669397"
"535","21556461"
"536","15361676"
"537","15526495"
"538","70073390"
"539","15526553"
"540","15526931"
"541","15526567"
"542","15526567"
"543","70001899"
"544","70002229"
"545","70002229"
"546","15527122"
"547","15527122"
"548","70003652"
"549","70043543"
"550","15527228"
"551","70410194"
"552","70410253"
"553","70811801"
"554","70811801"
"555","15527933"
"556","15527933"
"557","70410475"
"558","70410539"
"559","70411588"
"560","70411685"
"561","15531777"
"562","70411705"
"563","70411770"
"564","15527665"
"565","15527665"
"566","15527673"
"567","15527673"
"568","15527679"
"569","70813409"
"570","70411185"
"571","70411185"
"572","70412640"
"573","15528890"
"574","15528954"
"575","21459347"
"576","21459438"
"577","71230074"
"578","70413587"
"579","70415053"
"580","70415095"
"581","21460378"
"582","21460469"
"583","21460508"
"584","21461147"
"585","21460639"
"586","21460715"
"587","21461431"
"588","21460766"
"589","70413677"
"590","15528630"
"591","15528630"
"592","21461438"
"593","21461582"
"594","21460898"
"595","21461848"
"596","21461848"
"597","21473055"
"598","21473096"
"599","21473105"
"600","21473110"
"601","21550139"
"602","21463480"
"603","21463484"
"604","21463518"
"605","21463518"
"606","21463551"
"607","21462603"
"608","21463825"
"609","21473149"
"610","21473210"
"611","21463016"
"612","21463962"
"613","21475525"
"614","21475557"
"615","21475602"
"616","8457980"
"617","8511447"
"618","9856789"
"619","9856789"
"620","43488350"
"621","15525988"
"622","15250723"
"623","15250723"
"624","21555290"
"625","15526417"
"626","43997722"
"627","3509934"
"628","3509934"
"629","3376549"
"630","3377370"
"631","3377436"
"632","3377488"
"633","3377488"
"634","3377775"
"635","3378167"
"636","3378644"
"637","3378675"
"638","98451794"
"639","3379628"
"640","3379632"
"641","3379632"
"642","3380204"
"643","3379688"
"644","98469657"
"645","21569292"
"646","3379737"
"647","1027882507"
"648","1027882616"
"649","21570730"
"650","15450780"
"651","21553237"
"652","15516600"
"653","3409856"
"654","1027887020"
"655","1027880666"
"656","1033648687"
"657","1033649384"
"658","1027881138"
"659","21572001"
"660","21572267"
"661","21572483"
"662","15521231"
"663","15521231"
"664","1033652779"
"665","1033652779"
"666","1033653665"
"667","1037652325"
"668","1037652325"
"669","21574600"
"670","21575063"
"671","21575158"
"672","21573432"
"673","3410215"
"674","3409116"
"675","3411128"
"676","21576214"
"677","15521078"
